타임스탬프,효용성1,효용성2,효용성3,감정공감1,감정공감2,감정공감3,신뢰성1,신뢰성2,신뢰성3,신뢰성4,몰입감1,몰입감2,몰입감3,성별,나이,제작주체,서사성,그룹,장르선호,나이.1,신뢰성,효용성,감정공감,몰입감,지각된가치,집단_combined
11:44.9,4,4,3,4,5,3,5,1,5,5,1,1,5,남자,21,AI,서사,AI_서사,5,21,4.0,3.6666666666666665,4.0,2.3333333333333335,3.5384615384615383,AI_서사
10:07.9,6,6,5,6,5,5,3,3,3,4,6,6,6,남자,20,AI,서사,AI_서사,5,20,3.25,5.666666666666667,5.333333333333333,6.0,4.923076923076923,AI_서사
04:14.0,2,3,3,3,3,3,5,4,3,6,3,3,2,남자,23,AI,서사,AI_서사,1,23,4.5,2.6666666666666665,3.0,2.6666666666666665,3.3076923076923075,AI_서사
13:39.6,5,5,3,5,5,5,4,5,4,4,3,4,5,여자,20,AI,서사,AI_서사,5,20,4.25,4.333333333333333,5.0,4.0,4.384615384615385,AI_서사
05:19.7,4,6,5,4,4,5,3,4,2,2,6,4,3,여자,20,AI,서사,AI_서사,4,20,2.75,5.0,4.333333333333333,4.333333333333333,4.0,AI_서사
05:21.1,6,6,4,2,4,2,3,3,3,3,4,5,5,여자,19,AI,서사,AI_서사,6,19,3.0,5.333333333333333,2.6666666666666665,4.666666666666667,3.8461538461538463,AI_서사
09:15.7,5,7,6,6,6,6,7,4,3,4,5,4,3,여자,20,AI,서사,AI_서사,6,20,4.5,6.0,6.0,4.0,5.076923076923077,AI_서사
25:06.0,3,5,3,4,4,3,2,3,4,4,4,4,4,여자,20,AI,서사,AI_서사,5,20,3.25,3.6666666666666665,3.6666666666666665,4.0,3.6153846153846154,AI_서사
48:49.0,6,4,5,5,4,3,5,5,3,4,4,2,3,여자,19,AI,서사,AI_서사,5,19,4.25,5.0,4.0,3.0,4.076923076923077,AI_서사
05:55.3,2,2,1,1,1,1,6,3,3,2,2,5,4,남자,22,AI,서사,AI_서사,2,22,3.5,1.6666666666666667,1.0,3.6666666666666665,2.5384615384615383,AI_서사
18:19.2,4,5,4,6,6,6,6,6,4,5,5,5,5,여자,20,AI,서사,AI_서사,3,20,5.25,4.333333333333333,6.0,5.0,5.153846153846154,AI_서사
22:28.3,4,4,3,5,5,5,5,4,4,4,4,4,4,여자,20,AI,서사,AI_서사,4,20,4.25,3.6666666666666665,5.0,4.0,4.230769230769231,AI_서사
23:05.5,2,3,3,1,2,1,5,4,1,2,1,1,1,여자,21,AI,서사,AI_서사,2,21,3.0,2.6666666666666665,1.3333333333333333,1.0,2.076923076923077,AI_서사
27:45.3,4,5,2,3,3,3,5,5,2,2,6,5,5,여자,19,AI,서사,AI_서사,3,19,3.5,3.6666666666666665,3.0,5.333333333333333,3.8461538461538463,AI_서사
55:58.3,5,5,5,3,3,3,3,2,2,4,2,3,3,여자,21,AI,서사,AI_서사,4,21,2.75,5.0,3.0,2.6666666666666665,3.3076923076923075,AI_서사
16:41.8,3,2,2,5,5,5,7,7,6,6,5,3,4,남자,21,AI,서사,AI_서사,1,21,6.5,2.3333333333333335,5.0,4.0,4.615384615384615,AI_서사
18:04.0,4,2,2,3,2,2,4,3,3,3,2,2,2,여자,22,AI,서사,AI_서사,4,22,3.25,2.6666666666666665,2.3333333333333335,2.0,2.6153846153846154,AI_서사
31:17.7,7,7,7,4,7,7,7,7,7,7,3,7,7,여자,22,AI,서사,AI_서사,1,22,7.0,7.0,6.0,5.666666666666667,6.461538461538462,AI_서사
41:02.9,5,4,4,4,5,4,4,3,2,3,3,3,2,남자,23,AI,서사,AI_서사,5,23,3.0,4.333333333333333,4.333333333333333,2.6666666666666665,3.5384615384615383,AI_서사
27:56.6,3,3,2,4,4,4,3,1,1,4,1,1,1,여자,19,AI,서사,AI_서사,2,19,2.25,2.6666666666666665,4.0,1.0,2.4615384615384617,AI_서사
33:26.0,4,5,3,5,4,4,7,3,2,2,5,5,4,여자,21,AI,서사,AI_서사,3,21,3.5,4.0,4.333333333333333,4.666666666666667,4.076923076923077,AI_서사
20:12.7,6,6,4,5,3,2,4,2,3,2,4,2,1,남자,21세,AI,서사,AI_서사,6,21,2.75,5.333333333333333,3.3333333333333335,2.3333333333333335,3.3846153846153846,AI_서사
21:16.7,4,3,3,5,5,3,5,2,2,3,3,2,2,여자,22,AI,서사,AI_서사,3,22,3.0,3.3333333333333335,4.333333333333333,2.3333333333333335,3.230769230769231,AI_서사
26:28.6,4,4,4,5,4,4,4,4,3,4,5,5,5,남자,22,AI,서사,AI_서사,5,22,3.75,4.0,4.333333333333333,5.0,4.230769230769231,AI_서사
29:42.0,1,1,1,3,2,2,5,3,3,1,2,1,1,여자,20,AI,서사,AI_서사,1,20,3.0,1.0,2.3333333333333335,1.3333333333333333,2.0,AI_서사
52:52.4,7,7,7,7,7,7,7,7,7,7,7,7,7,남자,23,AI,서사,AI_서사,7,23,7.0,7.0,7.0,7.0,7.0,AI_서사
55:45.5,4,3,2,1,1,1,1,1,2,3,1,1,2,남자,26,AI,서사,AI_서사,7,26,1.75,3.0,1.0,1.3333333333333333,1.7692307692307692,AI_서사
09:40.3,2,2,2,2,2,2,5,1,1,1,1,1,1,남자,26,AI,서사,AI_서사,1,26,2.0,2.0,2.0,1.0,1.7692307692307692,AI_서사
12:28.2,2,2,2,2,2,2,2,2,2,2,2,2,2,남자,23,AI,서사,AI_서사,6,23,2.0,2.0,2.0,2.0,2.0,AI_서사
15:22.9,4,6,3,6,7,5,2,2,4,6,7,5,6,남자,21,AI,서사,AI_서사,7,21,3.5,4.333333333333333,6.0,6.0,4.846153846153846,AI_서사
03:30.5,3,6,1,5,5,4,6,4,5,6,4,4,5,남자,20,AI,비서사,AI_비서사,2,20,5.25,3.3333333333333335,4.666666666666667,4.333333333333333,4.461538461538462,AI_비서사
16:26.8,4,5,4,5,2,2,5,4,5,2,5,1,2,여자,19,AI,비서사,AI_비서사,5,19,4.0,4.333333333333333,3.0,2.6666666666666665,3.5384615384615383,AI_비서사
21:00.7,2,1,1,1,1,1,6,2,1,3,5,5,6,여자,20,AI,비서사,AI_비서사,1,20,3.0,1.3333333333333333,1.0,5.333333333333333,2.6923076923076925,AI_비서사
36:21.0,2,2,2,2,2,3,4,2,1,2,1,5,2,여자,21,AI,비서사,AI_비서사,1,21,2.25,2.0,2.3333333333333335,2.6666666666666665,2.3076923076923075,AI_비서사
42:40.0,5,7,4,5,5,2,4,2,2,5,4,6,7,여자,24,AI,비서사,AI_비서사,5,24,3.25,5.333333333333333,4.0,5.666666666666667,4.461538461538462,AI_비서사
06:16.3,2,5,2,3,3,3,5,4,1,5,3,3,4,남자,23,AI,비서사,AI_비서사,2,23,3.75,3.0,3.0,3.3333333333333335,3.3076923076923075,AI_비서사
12:58.8,3,2,1,2,1,4,3,2,3,4,5,4,5,여자,20,AI,비서사,AI_비서사,6,20,3.0,2.0,2.3333333333333335,4.666666666666667,3.0,AI_비서사
14:44.9,4,4,4,3,3,3,5,5,3,4,4,4,3,남자,20,AI,비서사,AI_비서사,2,20,4.25,4.0,3.0,3.6666666666666665,3.769230769230769,AI_비서사
14:49.7,7,7,7,7,7,7,7,7,7,7,7,7,7,여자,20,AI,비서사,AI_비서사,6,20,7.0,7.0,7.0,7.0,7.0,AI_비서사
22:10.1,3,4,2,3,3,3,6,4,2,4,4,5,4,남자,19,AI,비서사,AI_비서사,3,19,4.0,3.0,3.0,4.333333333333333,3.6153846153846154,AI_비서사
30:55.2,4,4,3,3,2,1,7,3,1,2,3,3,1,여자,19,AI,비서사,AI_비서사,6,19,3.25,3.6666666666666665,2.0,2.3333333333333335,2.8461538461538463,AI_비서사
31:46.3,4,4,5,5,4,4,6,7,5,5,7,5,5,여자,20,AI,비서사,AI_비서사,7,20,5.75,4.333333333333333,4.333333333333333,5.666666666666667,5.076923076923077,AI_비서사
46:10.6,3,3,1,2,4,4,2,1,1,7,4,5,6,남자,23,AI,비서사,AI_비서사,7,23,2.75,2.3333333333333335,3.3333333333333335,5.0,3.3076923076923075,AI_비서사
09:19.2,3,3,3,4,3,4,2,2,3,3,3,3,2,여자,20,AI,비서사,AI_비서사,5,20,2.5,3.0,3.6666666666666665,2.6666666666666665,2.923076923076923,AI_비서사
20:25.8,3,3,5,4,5,3,4,5,5,3,3,4,5,남자,21,AI,비서사,AI_비서사,7,21,4.25,3.6666666666666665,4.0,4.0,4.0,AI_비서사
30:41.7,4,3,6,5,4,6,4,6,3,5,2,5,6,남자,20,AI,비서사,AI_비서사,1,20,4.5,4.333333333333333,5.0,4.333333333333333,4.538461538461538,AI_비서사
42:19.6,4,3,2,2,2,2,3,2,2,3,3,2,3,남자,23,AI,비서사,AI_비서사,2,23,2.5,3.0,2.0,2.6666666666666665,2.5384615384615383,AI_비서사
45:57.7,1,2,1,5,3,3,6,3,3,4,6,7,7,여자,23,AI,비서사,AI_비서사,1,23,4.0,1.3333333333333333,3.6666666666666665,6.666666666666667,3.923076923076923,AI_비서사
48:47.7,5,5,5,5,5,5,5,3,2,5,5,5,5,여자,21,AI,비서사,AI_비서사,6,21,3.75,5.0,5.0,5.0,4.615384615384615,AI_비서사
00:06.1,5,4,2,3,4,5,6,5,2,4,6,5,3,여자,22,AI,비서사,AI_비서사,5,22,4.25,3.6666666666666665,4.0,4.666666666666667,4.153846153846154,AI_비서사
21:43.4,5,6,4,7,7,7,7,5,7,7,7,7,7,남자,24,AI,비서사,AI_비서사,5,24,6.5,5.0,7.0,7.0,6.384615384615385,AI_비서사
27:49.8,5,6,2,5,5,5,6,5,2,5,5,3,2,여자,21,AI,비서사,AI_비서사,3,21,4.5,4.333333333333333,5.0,3.3333333333333335,4.3076923076923075,AI_비서사
15:39.7,2,2,2,3,3,3,4,4,3,4,4,3,3,남자,19,AI,비서사,AI_비서사,5,19,3.75,2.0,3.0,3.3333333333333335,3.076923076923077,AI_비서사
54:12.2,1,1,1,1,4,1,4,4,3,4,1,1,1,여자,22,AI,비서사,AI_비서사,6,22,3.75,1.0,2.0,1.0,2.076923076923077,AI_비서사
52:18.7,4,4,1,7,3,4,7,1,1,1,5,1,1,남자,26,AI,비서사,AI_비서사,1,26,2.5,3.0,4.666666666666667,2.3333333333333335,3.076923076923077,AI_비서사
53:46.8,7,7,7,7,7,7,7,7,7,7,7,7,7,남자,22,AI,비서사,AI_비서사,2,22,7.0,7.0,7.0,7.0,7.0,AI_비서사
08:41.4,5,7,4,5,5,2,5,1,1,1,2,5,1,남자,26,AI,비서사,AI_비서사,1,26,2.0,5.333333333333333,4.0,2.6666666666666665,3.3846153846153846,AI_비서사
35:45.4,7,6,6,6,6,6,5,4,5,5,6,5,5,여자,20,AI,비서사,AI_비서사,7,20,4.75,6.333333333333333,6.0,5.333333333333333,5.538461538461538,AI_비서사
13:06.6,6,6,6,6,6,6,6,6,6,6,6,6,6,남자,23,AI,비서사,AI_비서사,6,23,6.0,6.0,6.0,6.0,6.0,AI_비서사
16:12.0,5,5,2,5,5,4,6,6,6,5,5,6,6,여자,20,AI,비서사,AI_비서사,5,20,5.75,4.0,4.666666666666667,5.666666666666667,5.076923076923077,AI_비서사
59:04.6,1,2,1,1,2,2,3,1,4,3,3,3,3,여자,만 21세,AI,비서사,AI_비서사,6,21,2.75,1.3333333333333333,1.6666666666666667,3.0,2.230769230769231,AI_비서사
15:58.4,7,7,7,7,7,7,7,7,7,7,7,7,7,남자,20,인간,서사,인간_서사,7,20,7.0,7.0,7.0,7.0,7.0,인간_서사
23:54.5,5,5,4,5,5,4,5,4,2,4,4,6,3,여자,21,인간,서사,인간_서사,3,21,3.75,4.666666666666667,4.666666666666667,4.333333333333333,4.3076923076923075,인간_서사
47:31.7,5,5,1,5,5,5,5,5,1,5,5,2,5,여자,21,인간,서사,인간_서사,5,21,4.0,3.6666666666666665,5.0,4.0,4.153846153846154,인간_서사
56:15.1,2,3,2,4,1,2,5,5,5,6,5,4,2,여자,19세,인간,서사,인간_서사,2,19,5.25,2.3333333333333335,2.3333333333333335,3.6666666666666665,3.5384615384615383,인간_서사
16:50.8,4,4,3,4,4,5,5,3,4,3,4,3,3,여자,20,인간,서사,인간_서사,5,20,3.75,3.6666666666666665,4.333333333333333,3.3333333333333335,3.769230769230769,인간_서사
02:28.1,2,2,2,4,4,5,6,6,2,4,1,2,2,여자,20,인간,서사,인간_서사,2,20,4.5,2.0,4.333333333333333,1.6666666666666667,3.230769230769231,인간_서사
13:52.9,5,6,4,7,7,7,7,7,6,7,6,6,6,여자,22,인간,서사,인간_서사,5,22,6.75,5.0,7.0,6.0,6.230769230769231,인간_서사
57:51.5,4,6,2,5,4,2,5,4,5,4,3,3,2,남자,23,인간,서사,인간_서사,1,23,4.5,4.0,3.6666666666666665,2.6666666666666665,3.769230769230769,인간_서사
11:58.9,6,6,4,7,7,7,7,7,5,7,6,6,5,여자,21,인간,서사,인간_서사,6,21,6.5,5.333333333333333,7.0,5.666666666666667,6.153846153846154,인간_서사
18:20.6,5,4,3,5,4,4,7,7,3,6,3,4,3,여자,21,인간,서사,인간_서사,1,21,5.75,4.0,4.333333333333333,3.3333333333333335,4.461538461538462,인간_서사
51:19.1,6,7,6,7,7,7,7,7,7,7,7,7,7,여자,22,인간,서사,인간_서사,2,22,7.0,6.333333333333333,7.0,7.0,6.846153846153846,인간_서사
43:07.4,2,2,2,4,3,2,3,2,3,4,4,3,2,여자,만 20세,인간,서사,인간_서사,3,20,3.0,2.0,3.0,3.0,2.769230769230769,인간_서사
37:46.1,6,6,6,6,6,6,6,6,4,5,6,6,5,남자,23,인간,서사,인간_서사,6,23,5.25,6.0,6.0,5.666666666666667,5.6923076923076925,인간_서사
51:35.5,4,4,3,5,5,5,5,5,4,5,4,5,4,여자,25,인간,서사,인간_서사,5,25,4.75,3.6666666666666665,5.0,4.333333333333333,4.461538461538462,인간_서사
44:11.4,6,6,5,7,6,6,5,6,6,6,7,7,7,남자,20,인간,서사,인간_서사,7,20,5.75,5.666666666666667,6.333333333333333,7.0,6.153846153846154,인간_서사
58:05.5,7,7,7,7,7,7,5,5,5,5,6,6,4,남자,26,인간,서사,인간_서사,7,26,5.0,7.0,7.0,5.333333333333333,6.0,인간_서사
11:28.1,2,2,2,2,2,2,7,7,6,6,1,1,1,남자,26,인간,서사,인간_서사,1,26,6.5,2.0,2.0,1.0,3.1538461538461537,인간_서사
10:58.4,6,6,6,6,6,6,6,6,6,6,6,6,6,남자,23,인간,서사,인간_서사,6,23,6.0,6.0,6.0,6.0,6.0,인간_서사
16:08.4,4,3,3,5,5,6,4,6,2,6,7,5,6,여자,20세,인간,서사,인간_서사,3,20,4.5,3.3333333333333335,5.333333333333333,6.0,4.769230769230769,인간_서사
37:11.2,3,3,3,3,3,3,3,3,3,3,3,3,3,여자,20,인간,서사,인간_서사,3,20,3.0,3.0,3.0,3.0,3.0,인간_서사
00:11.6,5,5,4,6,6,6,5,5,5,5,6,6,6,여자,20,인간,서사,인간_서사,5,20,5.0,4.666666666666667,6.0,6.0,5.384615384615385,인간_서사
55:38.8,7,7,4,7,7,7,4,6,2,4,7,6,6,남자,22세,인간,서사,인간_서사,6,22,4.0,6.0,7.0,6.333333333333333,5.6923076923076925,인간_서사
56:34.9,6,6,4,6,5,6,4,7,4,6,6,5,6,여자,20세 ,인간,서사,인간_서사,4,20,5.25,5.333333333333333,5.666666666666667,5.666666666666667,5.461538461538462,인간_서사
35:31.2,3,4,5,2,3,3,2,3,2,2,3,4,4,여자,22,인간,서사,인간_서사,2,22,2.25,4.0,2.6666666666666665,3.6666666666666665,3.076923076923077,인간_서사
16:08.3,2,3,3,5,3,6,7,5,7,6,4,2,2,남자,22,인간,비서사,인간_비서사,2,22,6.25,2.6666666666666665,4.666666666666667,2.6666666666666665,4.230769230769231,인간_비서사
36:16.3,2,2,1,3,3,3,5,3,3,3,2,3,1,여자,20,인간,비서사,인간_비서사,1,20,3.5,1.6666666666666667,3.0,2.0,2.6153846153846154,인간_비서사
20:15.8,5,5,2,4,5,5,7,7,7,7,4,3,2,여자,21,인간,비서사,인간_비서사,4,21,7.0,4.0,4.666666666666667,3.0,4.846153846153846,인간_비서사
00:32.5,2,6,3,4,3,3,5,4,6,6,2,3,2,남자,23,인간,비서사,인간_비서사,2,23,5.25,3.6666666666666665,3.3333333333333335,2.3333333333333335,3.769230769230769,인간_비서사
02:00.7,3,5,2,1,1,2,5,3,4,4,5,4,3,여자,19,인간,비서사,인간_비서사,3,19,4.0,3.3333333333333335,1.3333333333333333,4.0,3.230769230769231,인간_비서사
06:45.3,5,5,4,4,3,3,7,7,7,7,6,6,6,여자,21,인간,비서사,인간_비서사,6,21,7.0,4.666666666666667,3.3333333333333335,6.0,5.384615384615385,인간_비서사
12:57.1,4,4,4,1,2,2,5,2,2,2,2,6,2,남자,25,인간,비서사,인간_비서사,3,25,2.75,4.0,1.6666666666666667,3.3333333333333335,2.923076923076923,인간_비서사
35:54.5,5,5,4,5,4,4,5,4,5,4,4,4,3,여자,19,인간,비서사,인간_비서사,5,19,4.5,4.666666666666667,4.333333333333333,3.6666666666666665,4.3076923076923075,인간_비서사
50:53.2,5,6,4,4,4,4,7,7,7,6,5,5,5,여자,21,인간,비서사,인간_비서사,4,21,6.75,5.0,4.0,5.0,5.3076923076923075,인간_비서사
38:32.6,2,2,2,2,2,2,2,2,3,2,2,2,2,남자,23,인간,비서사,인간_비서사,2,23,2.25,2.0,2.0,2.0,2.076923076923077,인간_비서사
05:49.9,6,5,5,5,5,5,6,6,6,6,6,5,5,여자,만19세,인간,비서사,인간_비서사,6,19,6.0,5.333333333333333,5.0,5.333333333333333,5.461538461538462,인간_비서사
08:11.3,6,6,4,4,4,4,7,5,4,7,7,7,7,여자,21,인간,비서사,인간_비서사,5,21,5.75,5.333333333333333,4.0,7.0,5.538461538461538,인간_비서사
59:39.8,5,5,3,5,5,2,6,6,5,7,6,4,2,남자,19,인간,비서사,인간_비서사,4,19,6.0,4.333333333333333,4.0,4.0,4.6923076923076925,인간_비서사
57:12.1,1,1,1,1,1,1,7,4,3,3,1,2,2,남자,26,인간,비서사,인간_비서사,1,26,4.25,1.0,1.0,1.6666666666666667,2.1538461538461537,인간_비서사
10:20.2,1,1,1,1,1,1,6,1,1,1,1,1,1,남자,26,인간,비서사,인간_비서사,1,26,2.25,1.0,1.0,1.0,1.3846153846153846,인간_비서사
11:36.7,6,6,6,6,6,6,6,6,6,6,6,6,6,남자,23,인간,비서사,인간_비서사,6,23,6.0,6.0,6.0,6.0,6.0,인간_비서사
13:29.0,3,5,2,1,2,1,7,7,6,4,4,2,3,남자,22세,인간,비서사,인간_비서사,5,22,6.0,3.3333333333333335,1.3333333333333333,3.0,3.6153846153846154,인간_비서사
36:31.1,3,3,3,3,3,3,3,3,3,3,3,3,3,여자,20,인간,비서사,인간_비서사,2,20,3.0,3.0,3.0,3.0,3.0,인간_비서사
59:15.2,6,6,4,5,5,6,6,6,6,6,6,6,5,여자,20,인간,비서사,인간_비서사,6,20,6.0,5.333333333333333,5.333333333333333,5.666666666666667,5.615384615384615,인간_비서사
53:20.0,2,6,3,1,1,3,7,7,7,5,7,6,5,여자,22세,인간,비서사,인간_비서사,7,22,6.5,3.6666666666666665,1.6666666666666667,6.0,4.615384615384615,인간_비서사
54:41.3,3,5,4,4,4,3,7,6,5,7,4,4,5,여자,20세,인간,비서사,인간_비서사,5,20,6.25,4.0,3.6666666666666665,4.333333333333333,4.6923076923076925,인간_비서사
59:02.2,4,7,3,2,3,3,7,7,7,7,6,6,6,여자,19세,인간,비서사,인간_비서사,6,19,7.0,4.666666666666667,2.6666666666666665,6.0,5.230769230769231,인간_비서사
05:57.5,4,6,6,4,6,7,7,6,7,7,5,5,5,여자,24,인간,비서사,인간_비서사,6,24,6.75,5.333333333333333,5.666666666666667,5.0,5.769230769230769,인간_비서사
58:27.6,5,4,2,4,3,3,5,4,3,3,5,5,1,여자,20,인간,비서사,인간_비서사,6,20,3.75,3.6666666666666665,3.3333333333333335,3.6666666666666665,3.6153846153846154,인간_비서사
